source_id,distance_to_subway,id
318004950,1.184741,318004950
316729454,1.214572,316729454
313624944,2.825349,313624944
315194547,-1.0,315194547
317798452,1.591048,317798452
317414240,1.318046,317414240
317015335,1.159503,317015335
316673706,1.586027,316673706
317915900,2.705009,317915900
313625684,1.240309,313625684
317414273,0.838413,317414273
316729470,2.559571,316729470
318004956,2.653139,318004956
317800914,0.778187,317800914
317015336,1.521304,317015336
316673801,7.904274,316673801
317414265,1.475942,317414265
313628135,1.297956,313628135
317915903,5.341422,317915903
316729941,1.143313,316729941
315201086,5.305723,315201086
317803325,6.056962,317803325
318004968,2.777815,318004968
317015338,-1.0,317015338
313633204,1.295961,313633204
316673803,0.850926,316673803
317917748,0.657917,317917748
317415720,1.74406,317415720
317809318,1.470829,317809318
316731408,1.227966,316731408
318006574,1.360248,318006574
316673836,0.861528,316673836
317015339,1.343954,317015339
313640294,2.804129,313640294
317812736,2.918806,317812736
317917928,4.975555,317917928
317417410,0.95738,317417410
318007448,2.605572,318007448
316731409,1.721553,316731409
317015346,0.549532,317015346
313641604,1.177442,313641604
317812738,2.538514,317812738
316678851,0.784662,316678851
317917929,4.975555,317917929
315203806,0.535564,315203806
317417934,3.475178,317417934
313653902,0.24683,313653902
318007453,2.758575,318007453
317015347,0.186239,317015347
316679133,1.519134,316679133
317812835,1.634279,317812835
317917932,5.569532,317917932
317417941,-1.0,317417941
315207037,5.033109,315207037
313654024,1.246098,313654024
318014797,1.964164,318014797
316733738,0.762365,316733738
317814199,5.215946,317814199
317015352,2.271907,317015352
316681812,2.154243,316681812
315207228,1.396647,315207228
313658164,2.339666,313658164
317417942,0.391563,317417942
318016837,0.892195,318016837
316734491,0.697324,316734491
317814995,3.926373,317814995
317917935,5.569532,317917935
317015356,2.9875,317015356
316688798,0.106633,316688798
315210314,3.602544,315210314
316734493,1.088875,316734493
313686233,3.158921,313686233
317417952,-1.0,317417952
316688801,0.784662,316688801
315215836,1.602915,315215836
317940543,3.843962,317940543
317816044,1.412921,317816044
317015358,1.491758,317015358
316737766,0.711601,316737766
317420408,0.955151,317420408
313696560,0.118619,313696560
315254544,0.88301,315254544
317015362,0.780134,317015362
316688804,2.020149,316688804
317942928,3.949116,317942928
317817467,0.718401,317817467
316751814,2.670077,316751814
313696759,2.048793,313696759
315284588,6.95691,315284588
316688806,0.784662,316688806
317420415,1.551854,317420415
317817470,0.581553,317817470
317945720,9.002881,317945720
316688807,1.382045,316688807
313698853,2.859037,313698853
318021219,1.013801,318021219
317026042,3.295429,317026042
315313757,-1.0,315313757
317420427,0.592301,317420427
316764951,3.226584,316764951
317966096,5.833172,317966096
317420981,4.064047,317420981
317031417,4.4845,317031417
316692919,8.063742,316692919
313708474,0.093278,313708474
315326903,-1.0,315326903
316765911,2.370806,316765911
317967774,5.525086,317967774
316707123,1.804704,316707123
317032770,1.318546,317032770
317422063,4.102694,317422063
318021543,1.688786,318021543
313708477,1.490475,313708477
315328323,0.942674,315328323
316711154,1.01649,316711154
317036588,-1.0,317036588
316772121,0.892195,316772121
313708483,0.797896,313708483
317423200,1.489686,317423200
317981117,1.0091,317981117
317821396,0.974758,317821396
318022333,1.154628,318022333
315333891,7.263135,315333891
317036615,9.36741,317036615
316773887,4.172835,316773887
313710005,1.64391,313710005
315339058,0.606069,315339058
317439692,4.777902,317439692
317821724,2.806793,317821724
317052304,4.591846,317052304
318022461,1.728317,318022461
316711492,4.240506,316711492
316774472,2.822458,316774472
318025432,1.31754,318025432
313714891,4.823018,313714891
317054316,9.396149,317054316
317822537,1.4047,317822537
316721370,5.029073,316721370
316781674,3.874385,316781674
313736950,4.361977,313736950
317055109,6.574882,317055109
317829561,4.089685,317829561
318025993,4.457097,318025993
317440009,3.318933,317440009
316722227,1.985347,316722227
316781708,1.30461,316781708
315362031,0.464982,315362031
313748379,0.135859,313748379
317055110,1.743929,317055110
317836023,1.197097,317836023
318028839,-1.0,318028839
316726983,6.162306,316726983
317440072,1.236332,317440072
316781713,1.505636,316781713
313752279,1.812098,313752279
316733999,2.764677,316733999
317055114,2.386359,317055114
