source_id,distance_to_subway,lat,lng,id
315461058,1.685447,56.265272,43.874545,315461058
315479749,0.671639,56.256963,43.882163,315479749
315479763,0.554869,56.281176,43.918571,315479763
315485580,5.669916,56.284464,44.068788,315485580
315485593,4.940415,56.280786,44.047246,315485593
315486038,0.781849,56.291888,43.931274,315486038
315486596,4.585981,56.286433,43.847236,315486596
315486691,2.375648,56.227685,43.82971,315486691
315486707,0.660961,56.316838,44.003094,315486707
315486708,6.369129,56.283999,44.081741,315486708
315487224,0.152735,56.277818,43.921383,315487224
315487517,5.518808,56.260308,44.005609,315487517
315488702,1.809968,56.269071,43.881336,315488702
315488708,4.85361,56.290629,43.84729,315488708
315488712,2.764203,56.293682,44.020099,315488712
315488857,5.741703,56.271496,44.046959,315488857
315489182,1.965075,56.316863,43.883088,315489182
315496087,2.311097,56.296074,44.013362,315496087
315496098,4.276952,56.286298,44.042162,315496098
315496395,0.62104,56.30429,43.934795,315496395
315499316,0.432493,56.313808,43.941146,315499316
315501046,8.975394,56.384216,43.782333,315501046
315502696,1.104859,56.308176,43.919919,315502696
315502698,5.074633,56.303846,44.073935,315502698
315502700,2.060804,56.322489,44.023324,315502700
315504255,3.85232,56.352268,43.842789,315504255
315506060,0.641914,56.30481,43.938128,315506060
315506066,0.675281,56.317243,43.938505,315506066
315508186,3.63914,56.3592,43.85904,315508186
315509167,1.452494,56.274954,43.944685,315509167
315509278,2.057765,56.228371,43.880303,315509278
315509288,3.199436,56.316544,44.045387,315509288
315511359,0.152735,56.277818,43.921383,315511359
315515591,1.788233,56.302752,43.972946,315515591
315515718,2.691805,56.230002,43.820394,315515718
315517090,1.882077,56.267487,43.874895,315517090
315519855,4.286796,56.360631,43.846086,315519855
315532735,1.417924,56.326497,43.875416,315532735
315532737,3.044372,56.348746,43.85427,315532737
315533875,2.714214,56.218116,43.8662,315533875
315534744,4.833081,56.265737,43.997659,315534744
315536494,5.429959,56.260948,44.004486,315536494
315536943,3.201019,56.285059,43.992413,315536943
315536946,5.150236,56.305229,44.075696,315536946
315537003,0.354515,56.309878,43.942817,315537003
315537722,3.983325,56.293517,43.86487,315537722
315540240,4.555398,56.288116,44.051208,315540240
315541219,1.590927,56.31898,44.01788,315541219
315541226,6.609024,56.362451,43.801772,315541226
315544714,3.213257,56.284974,43.99129,315544714
315551714,1.075125,56.256598,43.918679,315551714
315558277,2.500407,56.230117,43.823871,315558277
315563169,0.164432,56.275364,43.919586,315563169
315570775,2.561428,56.22835,43.82485,315570775
315585380,1.452494,56.274954,43.944685,315585380
315594265,1.596104,56.23534,43.83528,315594265
315596065,0.857572,56.234815,43.862696,315596065
315597001,0.318001,56.333594,43.945413,315597001
315597521,0.4607,56.310443,43.998288,315597521
315607989,3.295637,56.284379,43.988029,315607989
315612013,0.574759,56.308595,43.945799,315612013
315615480,5.79995,56.274245,44.054882,315615480
315633687,6.042345,56.286927,44.078723,315633687
315633968,4.367784,56.235335,43.959813,315633968
315634817,1.119687,56.255277,43.865077,315634817
315637745,1.17679,56.33794,43.911897,315637745
315637826,0.843119,56.254152,43.869829,315637826
315637933,2.58683,56.230042,43.822317,315637933
315638082,5.555371,56.36313,43.822874,315638082
315638334,1.617526,56.32485,44.010882,315638334
315638555,3.509291,56.334158,43.838127,315638555
315638559,1.789805,56.261378,43.86178,315638559
315638568,1.247284,56.337741,43.929926,315638568
315638705,1.586027,56.258518,43.860307,315638705
315638727,1.174544,56.24547,43.840086,315638727
315639100,3.641915,56.311646,43.850659,315639100
315639361,1.32212,56.336473,43.928327,315639361
315642106,8.255667,56.378674,43.789277,315642106
315642145,0.609845,56.288121,43.936106,315642145
315642495,3.015805,56.301134,44.036996,315642495
315642497,3.5302,56.27315,43.980627,315642497
315643007,4.745268,56.223581,43.948306,315643007
315645254,1.442529,56.341533,43.912786,315645254
315645909,1.539544,56.318336,44.017422,315645909
315646194,1.396703,56.239003,43.836169,315646194
315648795,2.696686,56.351505,43.866164,315648795
315649170,1.70784,56.299811,44.005259,315649170
315649176,5.295545,56.303531,44.077465,315649176
315649179,5.356808,56.29506,44.07363,315649179
315649181,1.219504,56.324721,43.992566,315649181
315649187,0.729331,56.241739,43.846266,315649187
315649198,2.420858,56.292468,43.986322,315649198
315649202,1.785073,56.348387,43.933025,315649202
315649206,1.553077,56.319973,44.016425,315649206
315649259,4.336783,56.285893,44.042799,315649259
315649264,1.24555,56.310977,43.974447,315649264
315653425,0.772242,56.277018,43.908968,315653425
315653430,4.326813,56.358612,43.84181,315653430
